payment_id,order_id,amount,paid_by,payment_date,processed_by,means
,,,,,,
1,1,17.98,Hannah Langdon,,4,Dr. Card 
2,2,35.96,Matt Manning,,4,Apple Pay
3,3,31.96,Sophie Lyman,,3,Cr. Card
4,4,55.93,Jessica Miller,,1,Apple Pay
5,5,32.97,Kylie Henderson,,2,Apple Pay
6,6,21.98,Penelope Turner,,4,Dr. Card 
7,7,25.98,Maria Sharp,,3,Google Pay
8,8,77.94,Karen Poole,,5,Dr. Card 
9,9,79.95,Alexandra Dickens,,1,Cr. Card
10,10,63.96,Max Scott,,4,Apple Pay
11,11,16.89,Heather Cameron,,3,Apple Pay
12,12,84.45,Ryan Kelly,,5,Dr. Card 
13,13,101.34,Alan MacDonald,,2,Dr. Card 
14,14,16.89,Justin Paterson,,2,Apple Pay
15,15,67.56,Julian Henderson,,2,Dr. Card 
16,16,32.97,Trevor Manning,,1,Apple Pay
17,17,54.95,Wanda Arnold,,5,Apple Pay
18,18,21.98,Natalie Edmunds,,5,Apple Pay
19,19,65.94,Max Alsop,,3,Dr. Card 
20,20,53.16,Dylan Skinner,,3,Apple Pay
21,21,53.16,Alexander Forsyth,,2,Cr. Card
22,22,58.47,Pippa Baker,,5,Apple Pay
23,23,47.94,Trevor Ross,,5,Dr. Card 
24,24,23.97,Harry Mackay,,3,Google Pay
25,25,31.96,Hannah Baker,,5,Apple Pay
26,26,63,Blake Lewis,,3,Apple Pay
27,27,36,Samantha Forsyth,,1,Apple Pay
28,28,25,Joanne Johnston,,2,Dr. Card 
29,29,48,Chloe McLean,,2,Google Pay
30,30,41.94,Luke Pullman,,5,Apple Pay
31,31,59.94,Nathan Alsop,,1,Dr. Card 
32,32,49.95,Harry White,,2,Google Pay
33,33,6.98,David King,,3,Google Pay
34,34,41.94,Kylie Davidson,,1,Dr. Card 
35,35,31.96,Carl Turner,,1,Apple Pay
36,36,23.97,Eric Bailey,,5,Apple Pay
37,37,39.95,Michael Duncan,,4,Dr. Card 
38,38,31.96,Lucas Bond,,5,Google Pay
39,39,71.91,Jan Newman,,1,Dr. Card 
40,40,31.96,Jennifer Ellison,,3,Apple Pay
41,41,31.96,Samantha Wilkins,,5,Cr. Card
